Day/Month/Year,Hour:Min:Sec,Temperature,Humidity,HeatIndex,
Day/Month/Year,Hour:Min:Sec,Temperature,Humidity,HeatIndex
9/5/2020,21:5:51,25,29,24
9/5/2020,21:6:2,25,29,24
9/5/2020,21:6:13,25,29,24
9/5/2020,21:6:24,25,29,24
9/5/2020,21:6:35,25,29,24
9/5/2020,21:6:46,25,29,24
9/5/2020,21:6:58,25,29,24
9/5/2020,21:7:9,25,29,24
9/5/2020,21:7:20,25,29,24
9/5/2020,21:7:31,25,29,24
9/5/2020,21:7:42,25,29,24
9/5/2020,21:7:53,25,29,24
9/5/2020,21:8:5,25,29,24
9/5/2020,21:8:16,25,29,24
9/5/2020,21:8:27,25,29,24
9/5/2020,21:8:38,25,29,24
9/5/2020,21:8:49,25,29,24
9/5/2020,21:9:1,25,29,24
9/5/2020,21:9:12,25,29,24
9/5/2020,21:9:23,25,29,24
9/5/2020,21:9:34,25,29,24
9/5/2020,21:9:45,25,30,24
9/5/2020,21:9:56,25,29,24
9/5/2020,21:10:8,25,29,24
9/5/2020,21:10:19,25,29,24
9/5/2020,21:10:30,25,29,24
9/5/2020,21:10:41,25,29,24
9/5/2020,21:10:52,25,29,24
9/5/2020,21:11:3,25,29,24
9/5/2020,21:11:15,25,29,24
9/5/2020,21:11:26,25,29,24
9/5/2020,21:11:37,25,29,24
9/5/2020,21:11:48,25,29,24
9/5/2020,21:11:59,25,29,24
9/5/2020,21:12:11,25,29,24
9/5/2020,21:12:22,25,29,24
9/5/2020,21:12:33,25,29,24
9/5/2020,21:12:44,25,29,24
9/5/2020,21:12:55,25,29,24
9/5/2020,21:13:6,25,29,24
9/5/2020,21:13:18,25,29,24
9/5/2020,21:13:29,25,29,24
9/5/2020,21:13:40,25,29,24
9/5/2020,21:13:51,25,29,24
9/5/2020,21:14:2,25,29,24
9/5/2020,21:14:13,25,29,24
9/5/2020,21:14:25,25,29,24
9/5/2020,21:14:36,25,29,24
9/5/2020,21:14:47,25,29,24
9/5/2020,21:14:58,25,29,24
9/5/2020,21:15:9,25,29,24
9/5/2020,21:15:21,25,29,24
9/5/2020,21:15:32,25,29,24
9/5/2020,21:15:43,25,29,24
9/5/2020,21:15:54,25,29,24
9/5/2020,21:16:5,25,29,24
9/5/2020,21:16:16,25,29,24
9/5/2020,21:16:28,25,30,24
9/5/2020,21:16:39,25,30,24
9/5/2020,21:16:50,25,29,24
9/5/2020,21:17:1,25,29,24
9/5/2020,21:17:12,25,29,24
9/5/2020,21:17:23,25,29,24
9/5/2020,21:17:35,25,29,24
9/5/2020,21:17:46,25,29,24
9/5/2020,21:17:57,25,29,24
9/5/2020,21:18:8,25,29,24
9/5/2020,21:18:19,25,29,24
9/5/2020,21:18:31,25,29,24
9/5/2020,21:18:42,25,29,24
9/5/2020,21:18:53,25,29,24
9/5/2020,21:19:4,25,29,24
9/5/2020,21:19:15,25,29,24
9/5/2020,21:19:26,25,29,24
9/5/2020,21:19:38,25,29,24
9/5/2020,21:19:49,25,29,24
9/5/2020,21:20:0,25,29,24
9/5/2020,21:20:11,25,30,24
9/5/2020,21:20:22,25,29,24
9/5/2020,21:20:34,25,29,24
9/5/2020,21:20:45,25,29,24
9/5/2020,21:20:56,25,29,24
9/5/2020,21:21:7,25,29,24
9/5/2020,21:21:18,25,29,24
9/5/2020,21:21:29,25,29,24
9/5/2020,21:21:41,25,29,24
9/5/2020,21:21:52,25,30,24
9/5/2020,21:22:3,25,30,24
9/5/2020,21:22:14,25,30,24
